hanzi,pinyin,definition 
苌,cháng,averrhora carambola; surname
抻,chēn,pull
琰,yǎn,"jewel, gem; glitter of gems"
鹚,cí,cormorant
龆,tiáo,lose baby teeth and get adult teeth
臬,niè,"law, rule; door post"
芄,wán,
呔,dāi,"(Cant.) a necktie, a tire"
雒,luò,black horse with white mane
觞,shāng,wine vessel; propose toast; feast
钒,fán,vanadium
饫,yù,"surfeited, satiated; confer"
阒,qù,"alone; quiet, still"
槎,chá,"raft; time, occasion; to hew"
鸩,zhèn,a bird resembling the secretary falcon
舂,chōng,grind in mortar
谠,dǎng,"counsel, advice; speak out"
阡,qiān,footpaths between fields; paths
莒,jǔ,hemp-like plant; taro; herb
萸,yú,dogwood
妗,jìn,
稔,rěn,"ripe grain; harvest; to know, be familiar with"
穰,ráng,"stalks of grain; lush, abundant"
蚧,jiè,"a red spotted lizard, used as medicine"
餍,yàn,
谯,qiáo,tower; surname
芗,xiāng,fragrant smell of grain; aromatic
菸,yān,to fade; withered or dried leaves; tobacco (used for 烟 and 煙)
葩,pā,flowers
踔,chuō,to get ahead; to stride; to excel
厣,yǎn,shell
佻,tiāo,frivolous; unsteady; delay
嘌,piào,"fast, speedy"
饩,xì,sacrficial victim; gift; grain
钏,chuàn,"bracelet, armlet"
蠓,měng,midges; sandflies
黩,dú,"to dishonor, defile, corrupt; soiled"
倨,jù,"arrogant, haughty, rude"
腸,cháng,intestines; emotions; sausage
缬,xié,patterned silk; tie knot
殚,dān,"utmost, entirely, quite; use up"
钿,diàn,"hairpin; gold inlaid work, filigree"
鎏,liú,pure gold
恁,nèn,"that, like this, thus, so, such"
藿,huò,"lophanthus rugosus, betony"
囟,xìn,top of the head; skull
鄣,zhāng,"name of an ancient city in N. Jiangsu, near Shandong"
呋,fū,
婺,wù,name of a star
绱,shàng,the piece of leather used for soles on Chinese shoes; a patch
瓯,ōu,"bowl, cup; small tray"
旃,zhān,silk banner with bent pole
锶,sī,strontium
酩,mǐng,drunk; intoxicated; tipsy
恹,yān,"feeble, sickly; tranquil, calm"
逶,wēi,"winding, curving; swagger"
缦,màn,"plain silk; simple, plain"
鸹,guā,the crow
螟,míng,"kind of caterpillar, larva"
菟,tú,dodder; creeper
阗,tián,a place in Xinjiang province
濉,suī,
篑,kuì,a bamboo basket for carrying earth
醪,láo,"unclear wine, wine with dregs"
鲛,jiāo,shark
讦,jié,
媪,ǎo,old woman; lower-class woman
邬,wū,various place names; surname
殇,shāng,die young; national mourning
鄯,shàn,district in Gansu during the Tang dynasty
芡,qiàn,plant allied to the waterlily
嫠,lí,a widow
肼,jǐng,hydrazine
峤,jiào,high pointed mountain
矽,xì,silicon
讧,hòng,confusion; internal strife
掼,guàn,"throw ground; know, be familiar"
焖,mèn,"simmer, cook over slow fire"
愆,qiān,"a fault, mistake, error, transgression"
聩,kuì,deaf
岘,xiàn,steep hill; mountain in Hubei
靛,diàn,indigo; any blue dye
菖,chāng,"iris, sweet flag, calamus"
卟,bǔ,a chemical compound; divination; to consider
姒,sì,wife of elder brother
杷,pá,loquat
砉,huò,
袢,pàn,robe
蚋,ruì,"gnat, mosquito"
笳,jiā,a reed leaf whistle
挈,qiè,"assist, help, lead by hand"
關,guān,frontier pass; close; relation
踽,jǔ,to walk alone; self-reliant
黾,miǎn,to strive; to endeavor
麼,me,"interrogative final particle; insignificant, small, tiny"
侩,kuài,"go-between, broker, proxy"
凫,fú,"wild duck, teal; swim"
诔,lěi,"eulogize, praise the dead"
郯,tán,name of a small ancient principality which was situated in what is now part of Shantung and Kiangsu
韪,wěi,right; proper; perpriety
挲,sā,to feel or fondle with the fingers
笪,dá,a coarse mat of rushes or bamboo
鼋,yuán,"large turtle, sea turtle"
莜,yóu,Avena nuda; a bamboo basket
風,fēng,"wind; air; manners, atmosphere"
菅,jiān,"coarse grass, themedia forskali"
嵊,shèng,"district in Shaohsing, Chekiang"
裢,lián,folding purse inserted in belt
趿,tā,to tread on; slipshod
箸,zhù,chopsticks
莴,wō,lettuce
莠,yǒu,"weeds, tares; undesirable, evil"
阌,wén,"wen xiang, Henan province"
旯,lá,"nook, corner"
圜,huán,"circle, surround; encircle"
涪,fú,river in Sichuan province
赍,jī,present
柞,zhà,oak; spinous evergreen tree; to clear away trees
嗍,suō,
囵,lún,"all, complete, entire"
榧,fěi,type of yew
裰,duō,to mend clothes
笾,biān,bamboo container for food
簟,diàn,bamboo mat
跎,tuó,"slip, stumble, falter; vacillate"
巽,xùn,"5th of the 8 trigrams; south-east; mild, modest, obedient"
曷,hé,why? what? where?
逖,tì,"far, distant; keep at distance"
骓,zhuī,piebald horse
绔,kù,trousers
枋,fāng,sandalwood; tree used as timber
镒,yì,measure of weight for gold
魃,bá,drought demon
餮,tiè,a legendary animal; a greedy person
讵,jù,an interjection used express surprise
乜,miē,to squint; (Cant.) what? huh?
鄢,yān,name of a district in Honan
瑭,táng,a kind of jade
踅,xué,to walk around; turn back midway
馓,sǎn,fried round cakes of wheat flour
蟛,péng,a land-crab
鳟,zūn,barbel
荛,ráo,"fuel, firewood; stubble; Wikstroemia japonica"
菬,qiáo,
忪,sōng,"quiet, calm, tranquil, peaceful"
阍,hūn,"gatekeeper; gate, door"
姹,chà,"beautiful, colorful; girl"
纰,pī,spoiled silk; hem of dress; mista
桉,ān,eucalyptus
氪,kè,krypton
氘,dāo,deuterium
垅,lǒng,"mound, grave; ridge in field"
郃,hé,county in Shanxi province
汊,chà,a branching stream
娉,pīng,"beautiful, attractive, charming, graceful"
纡,yū,"bend, turn, twist; distort"
缟,gǎo,white raw silk
旮,gā,"nook, corner"
镢,jué,hoe
傈,lì,tribe
堋,péng,bury
蔺,lìn,rush used for making mats; surnam
庥,xiū,"shade; shelter, protection"
枥,lì,type of oak; stable
腭,è,"palate, roof of mouth"
鹕,hú,pelican
笮,zé,boards which support tiles on roof
髂,qià,the pelvis
魍,wǎng,"demons, mountain spirits"
缁,zī,black silk
槊,shuò,"spear, lance"
跞,lì,"walk, move"
醚,mí,ether
吒,zhā,"shout, roar, bellow; scold"
枳,zhǐ,trifoliate orange; hedge thorn; (Cant.) a plug
搿,gé,
鹧,zhè,partridge
蜍,chú,toad
舻,lú,bow or prow of boat
鏊,ào,"a flat, iron cooking-plate for cakes"
禳,ráng,"pray or sacrifice, exorcise"
蒺,jí,furze; gorse
钹,bó,cymbals
蜢,měng,grasshopper
鬻,yù,"sell; child, childish; nourish"
珩,háng,the top gem of the pendants
卮,zhī,measuring cup; wine container
垭,yā,character used in place names
苄,biàn,benzyl
苕,sháo,rush plant
菀,wǎn,luxuriance of growth
骠,biāo,"charger, steed; swift, valiant"
袷,jiá,lined garment
跹,xiān,"wander about, walk around; revolve"
瘘,lòu,"fistula, sore, ulcer, goiter"
騔,gé,
論,lùn,debate; discuss; discourse
磬,qìng,musical instrument; musical stone
缶,fǒu,earthen crock or jar; rad. 121
笸,pǒ,flat basket for grain
鸷,zhì,"hawk, vulture"
頭,tóu,"head; top; chief, first; boss"
芰,jì,water caltrop
蕲,qí,variety of artemisia seek
阆,láng,"high door; high gate; high, lofty"
纨,wán,"white silk, fine silk; gauze"
琮,cóng,octagonal piece of jade with hole in middle
牦,máo,tail; hair; yak
砩,fú,
蠲,juān,"the millipede sometimes confounded with the grow-worm; bright, clear"
锒,láng,lock
锕,ā,actinium (Ac)
郓,yùn,
妯,zhóu,
驷,sì,team of four horses; horses
鹩,liáo,wren
舢,shān,sampan
趸,dǔn,sell or buy wholesale; store
證,zhèng,"proof, evidence; testify, verify"
養,yǎng,"raise, rear, bring up; support"
芫,yán,"daphne genkwa, poisonous plant"
嗉,sù,
蠊,lián,
笊,zhào,"ladle, bamboo skimmer"
莸,yóu,caryopteris divaricata
饴,yí,sweet-meats; sweet-cakes; syrup
阃,kǔn,
浯,wú,name of a river in Shandong
枇,pí,loquat
焱,yàn,flames
铆,mǎo,rivet
擤,xǐng,to blow the nose with fingers
柢,dǐ,"root, base; bottom of object"
醢,hǎi,minced pickled meat; mince
呲,cī,give a talking-to
崾,yǎo,place name in Shanxi province
溆,xù,river in Hunan
潴,zhū,pond; a pool
牖,yǒu,window; lead enlightenment
硪,wò,
碓,duì,pestle
鹆,yù,myna; manah; Acridotheres tristis
鬣,liè,
堀,kū,"cave, hole"
帙,zhì,book cover; satchel or bag
雱,pāng,snowing heavily
須,xū,"must, have to, necessary; moment; whiskers"
進,jìn,"advance, make progress, enter"
诎,qū,"bend, stoop, crouch; to yield"
獐,zhāng,"roebuck, hornless river deer"
桁,héng,cross-beams of roof
蛱,jiá,kind of butterfly
鳏,guān,huge fish; widower; bachelor
郴,chēn,county in Hunan province; surname
幂,mì,"cover-cloth, cover with cloth"
箝,qián,"tweezers, pliers, tongs, pincers"
僳,sù,minority name
疝,shàn,"hernia, rupture"
茴,huí,"fennel, aniseed"
揶,yé,"make fun of, ridicule"
呦,yōu,the bleating of the deer
嗌,ài,"the throat; to quarrel, choke"
囹,líng,"prison, enclosure"
螈,yuán,a silkworm
脲,niào,urea
镊,niè,"tweezers, forceps, pincers"
锑,tī,antimony
胨,dòng,a kind of protein
膈,gé,diaphragm
痼,gù,chronic disease
鳊,biān,bream
赅,gāi,prepared for; inclusive
贽,zhì,gift superior; gift given
處,chù,"place, locale; department"
苤,piě,kohl rabi
峄,yì,a range of peaks in Shandong and Jiangsu; the name of a mountain
桡,ráo,bent or twisted piece of wood
雎,jū,"osprey, fishhawk; hold back"
鲋,fù,"carp, carassicus auratus"
鞫,jū,"interrogate, question"
鼬,yòu,"weasel, mustela itatis"
獯,xūn,a tribe of Scythians which invaded China during the Hsia dynasty
昀,yún,sun light; used in personal names
痍,yí,"wound, bruise, sore"
蟊,máo,a fly which is used similarly to cantharides
鞴,bèi,saddle up horse; drive horse
疖,jiē,"pimple, sore, boil"
熘,liū,to steam
乇,tuō,"to depend on, to entrust with"
羸,léi,"weak, lean, emaciated, exhausted"
嵴,jǐ,mountain ridge
栀,zhī,gardenia
槲,hú,type of oak
炝,qiàng,stir-fry or boil in water or oil then cook with a sauce
炷,zhù,"candle wick, lamp wick; stick of incense"
硐,dòng,"variant of 洞, cave; chamber; pit"
锸,chā,"spade, shovel; marking pin"
鹂,lí,Chinese oriole; Oriolus oriolus
裾,jū,"lapel, border of garment; skirt"
侪,chái,"a company, companion; together"
診,zhěn,"examine patient, diagnose"
調,diào,"transfer, move, change; tune"
珐,fà,"enamel, cloissoné"
縯,yǎn,long
哔,bì,used in transliterations
屙,ē,to ease nature
旆,pèi,"flag ornament; flags, banners"
佰,bǎi,hundred
僦,jiù,to heir; to rent
牯,gǔ,cow; bull; ox
钪,kàng,scandium
掾,yuàn,a general designation of officials
針,zhēn,needle; pin; tack; acupuncture
仟,qiān,one thousand; leader of one thousand men
圮,pǐ,"destroyed, ruined; to subvert to injure"
芟,shān,"mow, cut; weed out; scythe"
崃,lái,mountain in Sichuan province
廪,lǐn,granary; stockpile
擘,bāi,"thumb; break, tear open, rip"
笱,gǒu,"a basket trap for fish, placed in the opening of a weir"
跗,fū,the instep
鲅,bà,fish name
硷,jiǎn,"alkaline, alkali, lye, salt"
苎,zhù,"china grass, ramie"
匏,páo,gourd; musical instrument
嗾,sǒu,"to set a dog on; incite, instigate"
圄,yǔ,"prison, jail"
彀,gòu,"enough, adequate fully, quite"
粳,jīng,non-glutinous rice
卣,yǒu,wine pot
勐,měng,imperial degree; daoist magic
掴,guāi,
涑,sù,river in Shansi province
浞,zhuó,"to soak, to steep in water"
玳,dài,tortoise shell
愍,mǐn,"pity, sympathize with"
畛,zhěn,"border, boundary; raised path"
赧,nǎn,"blush, turn red"
貉,háo,badger; raccoon dog
擀,gǎn,roll flat
湫,jiǎo,a small pond; a damp and narrow place
逦,lǐ,"meandering, winding"
椴,duàn,"poplar, aspen"
铄,shuò,"melt, smelt; shine"
箧,qiè,"rattan box, suitcase, or case"
刖,yuè,cutting off feet as form of punishment
鲮,líng,carp
訇,hōng,the sound of a crash
茱,zhū,dogwood
啖,dàn,"eat, feed; chew, bite; entice"
悭,qiān,"miserly, parsimonious, stingy"
愀,qiǎo,
朐,qú,warm
畈,fàn,field; farm
鹨,liù,Anthus species (various)
蛘,yáng,"a weevil found in rice, etc."
佶,jí,"strong, robust; exact, correct"
缃,xiāng,light-yellow color
晟,chéng,"clear, bright; splendor, brightness"
鲱,fēi,herring
凼,dàng,ditch; pool
苴,jū,sackcloth; female hemp plant
颛,zhuān,"good, honest; simple; respectful"
厍,shè,surname
匚,fāng,box; KangXi radical 22
徉,yáng,"wonder, rove, stray; hesitating"
洙,zhū,name of a river in Shandong
氡,dōng,radon
胗,zhēn,"pustules of any kind, a rash or eruption.measles; various kinds of fever"
癯,qú,"thin, emaciated; worn, tired"
鞒,qiáo,"mud shoe, sledge for the feet"
锆,gào,zirconium
佤,wǎ,"the Va (Wa) nationality, living in Yunnan"
錢,qián,"money, currency, coins"
飲,yǐn,drink; swallow; kind of drink
細,xì,"fine, tiny; slender, thin"
勰,xié,"peaceful, harmonious"
钺,yuè,"broad-axe, a battle axe, halberd"
繇,yáo,"reason, cause"
螭,chī,a dragon whose horns have not grown; cruel
嵬,wéi,"high; rugged, rocky, precipitous"
轸,zhěn,cross board at rear of carriage
肟,wò,an organic compound
肫,zhūn,"the gizzard of a fowl; honest, sincere"
邨,cūn,"village, hamlet; rustic"
瘿,yǐng,"swelling, goiter"
仞,rèn,
奁,lián,
宄,guǐ,a traitor; a villain
轳,lú,"pulley, windlass, capstan"
熳,màn,
睇,dì,"look at, glance at; stare at"
钼,mù,molybdenum
蝼,lóu,"a mole cricket, Gryllotalpa africana"
跆,tái,trample
樗,chū,"Ailanthus glandulosa or A. altissima, a kind of tree useless as timber"
鲰,zōu,small fish; small; minnow
節,jié,"knot, node, joint; section"
诶,éi,an exclamation of confirmation
薜,bì,"evergreen shrubs, ligusticum"
铧,huá,"spade, shovel, plowshare"
裥,jiǎn,folds
榇,chèn,coffin; tung tree
馃,guǒ,"cakes, biscuits, pastry"
術,shù,"art, skill, special feat; method, technique"
蹚,tāng,tread through mud and water
怄,òu,annoyed
寤,wù,"few, scarce; empty, deserted"
缗,mín,fishing-line; cord; string of coi
硗,qiāo,barren land; sandy soil
碡,dú,stone roller used to level fields
矬,cuó,a dwarf
鸱,chī,"kite, horned owl; wine cups"
虺,huī,large poisonous snake
糅,róu,"blend, mix; mixed"
雠,chóu,"enemy, rival, opponent"
帑,tǎng,a treasury; public funds
镧,lán,lanthanum
埙,xūn,instrument
啁,zhāo,"chirp, twitter, twittering"
悒,yì,"sorrowful, depressed, unhappy"
犍,jiān,a bullock; a fabulous monster
硌,gè,
锩,juǎn,to bend iron
虿,chài,a kind of scorpion
蛑,móu,a marine crab
艉,wěi,
钅,jīn,gold; money; KangXi radical 167
咴,huī,
筮,shì,divination with stalks of plants; divining rod
艏,shǒu,
糁,sǎn,a grain of rice; rice gruel mixed with meat
鼍,tuó,"large reptile, water lizard"
肄,yì,"learn, practice, study; toil"
籴,dí,purchase grains; store grain
骜,ào,"wild horse, mustang; wild"
砻,lóng,"grind, sharpen; mill"
蜮,yù,a fabulous creature like a turtle; a toad
龀,chèn,lose baby teeth and get adult teeth
黢,qū,black
劢,mài,"put forth effort, strive forward"
腫,zhǒng,swell; swollen; swelling
耪,pǎng,"plow, cultivate"
鬯,chàng,sacrificial wine; unhindered
畚,běn,"straw basket, hamper"
觳,hú,an ancient measure; a goblet; mean; frightened
稞,kē,grain ready for grinding; grain
鹁,bó,species of pigeon
鲲,kūn,spawn; roe; fy
稱,chēng,"call; name, brand; address; say"
捌,bā,"break open, split open; an accounting version of the numeral eight"
菔,fú,turnip
獬,xiè,a fabulous monster
柘,zhè,a thorny tree; sugarcane
娆,ráo,"graceful, charming, fascinating"
篪,chí,a bamboo flute with seven holes
鲀,tún,"blowfish, globefish, Spheroides vermicular"
谰,lán,"accuse falsely; slander, libel"
孬,nāo,bad; cowardly
伥,chāng,ghost of one devoured by tiger
谇,suì,"speak ill of, vilify; berate"
鄄,juàn,
狎,xiá,be familiar with; disrespect
闫,yàn,village gate
滟,yàn,"overflowing, billowing; wavy"
齑,jī,"break or smash into pieces, pulverize; hash"
遒,qiú,"strong, unyielding, forceful"
磔,zhé,"to dismember, tear apart; downward stroke slanting right"
聃,dān,ears without rims; a personal name
綦,qí,dark grey. variegated. superlative
鲡,lí,eel
蔻,kòu,"肉豆蔻 nutmeg, 豆蔻 cardamon"
泠,líng,"nice and cool, mild and comfortable"
砗,chē,"giant clam, tridacna gigas"
钕,nǚ,neodymium
镫,dèng,lamp; a kind of cooking vessel
菹,jū,salted or pickled vegetables
胂,shèn,
煅,duàn,
煸,biān,to stir-fry before broiling or stewing
螯,áo,nippers
